Year,Playlist Name,Track Name,Artist(s),Spotify URL
2011,Top Hits of 2011,Blow,Kesha,https://open.spotify.com/track/3pYDZTJM2tVBUhIRifWVzI
2011,Top Hits of 2011,Skinny Love,Birdy,https://open.spotify.com/track/4RL77hMWUq35NYnPLXBpih
2011,Top Hits of 2011,Louder (feat. Sian Evans),"DJ Fresh, Sian Evans",https://open.spotify.com/track/5rr88Jg9B0QLFMDj9qREaI
2011,Top Hits of 2011,The Adventures of Rain Dance Maggie,Red Hot Chili Peppers,https://open.spotify.com/track/0PgNhIg5n0UAOBVn43b8b6
2011,Top Hits of 2011,L.I.F.E.G.O.E.S.O.N.,Noah And The Whale,https://open.spotify.com/track/6y468DyY1V67RBNCwzrMrC
2011,Top Hits of 2011,Donald Trump,Mac Miller,https://open.spotify.com/track/0hyKlQELN5aZF8WXAkbXp9
2011,Top Hits of 2011,Yoü And I,Lady Gaga,https://open.spotify.com/track/3onybpBBo6YrqIDSpfAPS5
2011,Top Hits of 2011,jar of hearts,Christina Perri,https://open.spotify.com/track/0HZhYMZOcUzZKSFwPOti6m
2011,Top Hits of 2011,Mr. Saxobeat - Radio Edit,Alexandra Stan,https://open.spotify.com/track/5E6CDAxnBqc9V9Y6t5wTUE
2011,Top Hits of 2011,Pretty Girl Rock,Keri Hilson,https://open.spotify.com/track/2Adn2LNgkHMH5TelQVAu4n
2011,Top Hits of 2011,Beautiful People,"Chris Brown, Benny Benassi",https://open.spotify.com/track/7mdNKXxia7AeSuJqjjA2rb
2011,Top Hits of 2011,Firework,Katy Perry,https://open.spotify.com/track/5eEdVrqF3Dhns4srZd32rF
2011,Top Hits of 2011,"Save Me, San Francisco",Train,https://open.spotify.com/track/7gA5OQWsvAY7HhazroFuwI
2011,Top Hits of 2011,Last Friday Night (T.G.I.F.),Katy Perry,https://open.spotify.com/track/3KoTtGEDiBwUWzdRQVh9lh
2011,Top Hits of 2011,The Edge Of Glory,Lady Gaga,https://open.spotify.com/track/2tre67YRJ5bCSQ8CqYUbz0
2011,Top Hits of 2011,Stereo Hearts (feat. Adam Levine),"Gym Class Heroes, Adam Levine",https://open.spotify.com/track/0qOnSQQF0yzuPWsXrQ9paz
2011,Top Hits of 2011,Pumped Up Kicks,Foster The People,https://open.spotify.com/track/7w87IxuO7BDcJ3YUqCyMTT
